Temperature;Barometer;Humidity;Gas;TAG
32.160000000000004;129278;47;25221;DeniaCoffee
32.160000000000004;129279;47;25221;DeniaCoffee
32.160000000000004;129279;47;25221;DeniaCoffee
32.160000000000004;129279;47;6138;DeniaCoffee
32.160000000000004;129280;47;6138;DeniaCoffee
32.160000000000004;129275;47;6138;DeniaCoffee
32.160000000000004;129278;47;6138;DeniaCoffee
32.160000000000004;129278;47;6166;DeniaCoffee
32.160000000000004;129282;47;6166;DeniaCoffee
32.160000000000004;129283;47;6166;DeniaCoffee
32.160000000000004;129286;47;6166;DeniaCoffee
37.43;129286;47;6166;DeniaCoffee
37.43;129286;47;6142;DeniaCoffee
37.43;129287;47;6142;DeniaCoffee
37.43;129286;47;6142;DeniaCoffee
37.43;129286;47;6142;DeniaCoffee
37.43;129286;47;6125;DeniaCoffee
37.43;129285;47;6125;DeniaCoffee
37.43;129286;47;6125;DeniaCoffee
37.43;129284;47;6125;DeniaCoffee
37.43;129284;47;6111;DeniaCoffee
37.43;129281;47;6111;DeniaCoffee
37.43;129281;47;6111;DeniaCoffee
37.43;129284;47;6111;DeniaCoffee
37.43;129284;47;6125;DeniaCoffee
37.43;129283;47;6125;DeniaCoffee
37.43;129286;47;6125;DeniaCoffee
37.43;129283;47;6125;DeniaCoffee
37.58;129283;47;6125;DeniaCoffee
37.58;129283;86;6125;DeniaCoffee
37.58;129283;86;6101;DeniaCoffee
37.58;129285;86;6101;DeniaCoffee
37.58;129285;86;6101;DeniaCoffee
37.58;129286;86;6101;DeniaCoffee
37.58;129286;86;6121;DeniaCoffee
37.58;129289;86;6121;DeniaCoffee
37.58;129292;86;6121;DeniaCoffee
37.58;129291;86;6121;DeniaCoffee
37.58;129291;86;6091;DeniaCoffee
37.58;129292;86;6091;DeniaCoffee
37.58;129293;86;6091;DeniaCoffee
37.58;129294;86;6091;DeniaCoffee
37.58;129294;86;6084;DeniaCoffee
37.58;129293;86;6084;DeniaCoffee
37.58;129296;86;6084;DeniaCoffee
37.58;129295;86;6084;DeniaCoffee
37.730000000000004;129295;86;6084;DeniaCoffee
37.730000000000004;129295;86;6094;DeniaCoffee
37.730000000000004;129294;86;6094;DeniaCoffee
37.730000000000004;129291;86;6094;DeniaCoffee
37.730000000000004;129289;86;6094;DeniaCoffee
37.730000000000004;129289;86;6071;DeniaCoffee
37.730000000000004;129287;86;6071;DeniaCoffee
37.730000000000004;129286;86;6071;DeniaCoffee
37.730000000000004;129286;86;6071;DeniaCoffee
37.730000000000004;129286;86;6064;DeniaCoffee
37.730000000000004;129285;86;6064;DeniaCoffee
37.730000000000004;129287;86;6064;DeniaCoffee
37.730000000000004;129287;86;6064;DeniaCoffee
37.730000000000004;129287;86;6084;DeniaCoffee
37.730000000000004;129293;86;6084;DeniaCoffee
37.730000000000004;129292;86;6084;DeniaCoffee
37.730000000000004;129289;86;6084;DeniaCoffee
37.68;129289;86;6084;DeniaCoffee
37.68;129289;86;6087;DeniaCoffee
37.68;129291;86;6087;DeniaCoffee
37.68;129290;86;6087;DeniaCoffee
37.68;129290;86;6087;DeniaCoffee
37.68;129290;86;6087;DeniaCoffee
37.68;129291;86;6087;DeniaCoffee
37.68;129295;86;6087;DeniaCoffee
37.68;129301;86;6087;DeniaCoffee
37.68;129301;86;6044;DeniaCoffee
37.68;129301;86;6044;DeniaCoffee
37.68;129302;86;6044;DeniaCoffee
37.68;129298;86;6044;DeniaCoffee
37.68;129298;86;6061;DeniaCoffee
37.68;129298;86;6061;DeniaCoffee
37.68;129299;86;6061;DeniaCoffee
37.68;129296;86;6061;DeniaCoffee
37.81;129296;86;6061;DeniaCoffee
37.81;129296;86;6031;DeniaCoffee
37.81;129298;86;6031;DeniaCoffee
37.81;129298;86;6031;DeniaCoffee
37.81;129299;86;6031;DeniaCoffee
37.81;129299;86;6031;DeniaCoffee
37.81;129302;86;6031;DeniaCoffee
37.81;129303;86;6031;DeniaCoffee
37.81;129310;86;6031;DeniaCoffee
37.81;129310;86;5749;DeniaCoffee
37.81;129307;86;5749;DeniaCoffee
37.81;129307;86;5749;DeniaCoffee
37.81;129304;86;5749;DeniaCoffee
37.81;129304;86;5725;DeniaCoffee
37.81;129304;86;5725;DeniaCoffee
37.81;129303;86;5725;DeniaCoffee
37.81;129303;86;5725;DeniaCoffee
38.02;129303;86;5725;DeniaCoffee
38.02;129303;86;5707;DeniaCoffee
38.02;129301;86;5707;DeniaCoffee
38.02;129299;86;5707;DeniaCoffee
38.02;129297;86;5707;DeniaCoffee
38.02;129297;86;5737;DeniaCoffee
38.02;129298;86;5737;DeniaCoffee
38.02;129295;86;5737;DeniaCoffee
38.02;129298;86;5737;DeniaCoffee
38.02;129298;86;5731;DeniaCoffee
38.02;129297;86;5731;DeniaCoffee
38.02;129296;86;5731;DeniaCoffee
38.02;129297;86;5731;DeniaCoffee
38.02;129297;86;5737;DeniaCoffee
38.02;129296;86;5737;DeniaCoffee
38.02;129295;86;5737;DeniaCoffee
38.02;129294;86;5737;DeniaCoffee
37.92;129294;86;5737;DeniaCoffee
37.92;129294;86;5725;DeniaCoffee
37.92;129293;86;5725;DeniaCoffee
37.92;129296;86;5725;DeniaCoffee
37.92;129293;86;5725;DeniaCoffee
37.92;129293;86;5761;DeniaCoffee
37.92;129296;86;5761;DeniaCoffee
37.92;129296;86;5761;DeniaCoffee
37.92;129296;86;5761;DeniaCoffee
37.92;129296;86;5767;DeniaCoffee
37.92;129299;86;5767;DeniaCoffee
